"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"date/hora: data/hora da transação publicada"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"Atenção: relatórios com data de início de 1º de janeiro de 2025 ou mais recentes são indexados pela data de publicação, incluem transações liberadas e diferidas e têm duas novas colunas. Pode ser necessário atualizar integrações ou mapeamentos de terceiros."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total","Status da transação","Data de liberação da transação"
"1 de abr. de 2026 19:48:02 GMT-7","26176688371","Pedido","701-2149891-6690637","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","2","amazon.com.br","Boleto","Amazon","Curitiba","PR","82410","155,94","0","0","0","0","-18,72","-10,00","0","0","127,22","Liberado","10 de abr. de 2026 00:14:39 GMT-7"
"2 de abr. de 2026 00:34:42 GMT-7","26176688371","Pedido","702-9611159-5014617","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Boleto","Amazon","Caruaru","PE","55044","33,97","0","0","0","0","-4,76","-5,00","0","0","24,21","Liberado","10 de abr. de 2026 05:45:20 GMT-7"
"2 de abr. de 2026 04:31:43 GMT-7","26218266861","Pedido","701-2184180-5833812","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Fortaleza","Ceará","60040","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","12 de abr. de 2026 04:33:09 GMT-7"
"2 de abr. de 2026 08:32:07 GMT-7","26218266861","Pedido","701-4803127-5864260","MFS-0032","Conjunto 6 Potes de Vidro 350ml Nadir Figueredo","1","amazon.com.br","Visa Crédito","Amazon","Campo Grande","MS","79046","67,99","0","0","0","0","-8,16","-5,00","0","0","54,83","Liberado","11 de abr. de 2026 07:34:09 GMT-7"
"2 de abr. de 2026 10:08:15 GMT-7","26110101141","Pedido","702-5369631-3397026","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Areia Branca","RN","59655","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Diferido",
"2 de abr. de 2026 10:36:21 GMT-7","26219047571","Pedido","702-3575781-4345866","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Manaus","AM","69037","76,99","0","0","0","0","-9,24","-5,00","0","0","62,75","Liberado","12 de abr. de 2026 08:52:43 GMT-7"
"2 de abr. de 2026 10:48:38 GMT-7","26218266861","Pedido","702-0759924-3393838","MFS-0032","Conjunto 6 Potes de Vidro 350ml Nadir Figueredo","1","amazon.com.br","Visa Crédito","Amazon","Juazeiro do Norte","CE","63040","67,99","0","0","0","0","-8,16","-5,00","0","0","54,83","Liberado","11 de abr. de 2026 23:16:14 GMT-7"
"2 de abr. de 2026 22:52:45 GMT-7","26176089791","Pedido","701-0798561-2214641","MFS-0023+R","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Rosa)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Osasco","SP","06020","31,97","0","0","0","0","-4,48","-5,00","0","0","22,49","Liberado","10 de abr. de 2026 06:59:20 GMT-7"
"3 de abr. de 2026 06:20:44 GMT-7","26110251761","Taxa de Estoque FBA","","","Frete da transportadora parceira da Amazon de FBA","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","0","0","Liberado","3 de abr. de 2026 06:20:44 GMT-7"
"3 de abr. de 2026 08:40:54 GMT-7","26218629861","Pedido","701-6836584-6534668","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Manaus","AM","69054","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 15:06:44 GMT-7"
